,CATEGORY,TITLE,AUTHOR,DATE,STAR,RATING
0,Arts & Photography,Alice's Adventures in Wonderland: 150th Anniversary Edition,Lewis Carroll,"Sep 29, 2015",4.5 out of 5 stars,8239
1,Arts & Photography,First Little Readers Parent Pack: Guided Reading Level A: 25 Irresistible Books That Are Just the Right Level for Beginning Readers,Deborah Schecter,"Oct 1, 2010",4.7 out of 5 stars,8158
2,Arts & Photography,Lettering and Modern Calligraphy: A Beginner's Guide: Learn Hand Lettering and Brush Lettering,Paper Peony Press,"Oct 27, 2017",4.4 out of 5 stars,8141
3,Arts & Photography,Disney Dreams Collection Thomas Kinkade Studios Coloring Book,Thomas Kinkade,"Sep 19, 2017",4.7 out of 5 stars,7989
4,Arts & Photography,Hinch Yourself Happy: All The Best Cleaning Tips To Shine Your Sink And Soothe Your Soul,Mrs Hinch,"Apr 4, 2019",4.7 out of 5 stars,7723
5,Arts & Photography,Mrs Hinch: The Activity Journal,Mrs Hinch,"Oct 17, 2019",4.8 out of 5 stars,6930
6,Arts & Photography,Dracula,Bram Stoker,"Apr 10, 2012",4.5 out of 5 stars,6816
7,Arts & Photography,"The Ultimate Guide to Modern Calligraphy & Hand Lettering for Beginners: Learn to Letter: A Hand Lettering Workbook with Tips, Techniques, Practice Pages, and Projects",June & Lucy,"Aug 12, 2019",4.6 out of 5 stars,6482
8,Arts & Photography,Hamilton: The Revolution,Lin-Manuel Miranda,"Apr 12, 2016",4.9 out of 5 stars,6315
9,Arts & Photography,Adult Coloring Book: Stress Relieving Animal Designs,MantraCraft,"Jan 26, 2018",4.6 out of 5 stars,6190
10,Arts & Photography,Bossypants,Tina Fey,"Jan 3, 2012",4.3 out of 5 stars,6060
11,Arts & Photography,A Swear Word Coloring Book for Adults: Sweary AF: F*ckity F*ck F*ck F*ck,Honey Badger Coloring,"Sep 18, 2017",4.7 out of 5 stars,6016
12,Arts & Photography,"100 Amazing Patterns: An Adult Coloring Book with Fun, Easy, and Relaxing Coloring Pages",Jade Summer,"Jul 15, 2019",4.6 out of 5 stars,5700
13,Arts & Photography,Let That Sh*t Go: A Journal for Leaving Your Bullsh*t Behind and Creating a Happy Life: Zen as F*ck Journals,Publish Book,"Dec 23, 2019",4.7 out of 5 stars,5663
14,Arts & Photography,"Enchanted Forest: An Inky Quest and Coloring book (Activity Books, Mindfulness and Meditation, Illustrated Floral Prints)",Johanna Basford,"Feb 17, 2015",4.8 out of 5 stars,5560
15,Arts & Photography,The Legend of Zelda: Hyrule Historia,by ,"Jan 29, 2013",4.9 out of 5 stars,5535
16,Biographies & Memoirs,This Is Going to Hurt: Secret Diaries of a Medical Resident,Adam Kay,"Dec 3, 2019",4.6 out of 5 stars,15990
17,Biographies & Memoirs,Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,Todd Burpo,"Oct 31, 2010",4.7 out of 5 stars,15856
18,Biographies & Memoirs,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,J. D. Vance,"May 1, 2018",4.4 out of 5 stars,15841
19,Biographies & Memoirs,Maude,Donna Foley Mabry,"Oct 16, 2014",4.4 out of 5 stars,14607
20,Biographies & Memoirs,When Breath Becomes Air,Paul Kalanithi,"Jan 12, 2016",4.8 out of 5 stars,14217
21,Biographies & Memoirs,The Art Of War,Sun Tzu,"Nov 1, 2007",4.4 out of 5 stars,14107
22,Biographies & Memoirs,Fire and Fury: Inside the Trump White House,Michael Wolff,"Jan 8, 2019",-,13868
23,Biographies & Memoirs,Lone Survivor: The Eyewitness Account of Operation Redwing and the Lost Heroes of SEAL Team 10,Marcus Luttrell,"May 1, 2008",4.8 out of 5 stars,13826
24,Biographies & Memoirs,Proof of Heaven: A Neurosurgeon's Journey into the Afterlife,Eben Alexander,"Oct 23, 2012",4.3 out of 5 stars,13700
25,Biographies & Memoirs,12 Years a Slave,Solomon Northup,"Feb 21, 2014",4.6 out of 5 stars,12545
26,Biographies & Memoirs,Just Mercy: A Story of Justice and Redemption,Bryan Stevenson,"Aug 18, 2015",4.8 out of 5 stars,11928
27,Biographies & Memoirs,How to Be an Antiracist,Ibram X. Kendi,"Aug 13, 2019",4.8 out of 5 stars,11890
28,Biographies & Memoirs,Sharp Objects,Gillian Flynn,"Jul 31, 2007",4.3 out of 5 stars,11637
29,Biographies & Memoirs,Killing Patton: The Strange Death of World War II's Most Audacious General (Bill O'Reilly's Killing Series),Bill O'Reilly,"Sep 23, 2014",4.6 out of 5 stars,10973
30,Biographies & Memoirs,Between the World and Me,Ta-Nehisi Coates,"Jul 14, 2015",4.7 out of 5 stars,10919
31,Biographies & Memoirs,The 48 Laws of Power,Robert Greene,"Sep 1, 2000",4.7 out of 5 stars,10457
32,Business & Money,The 7 Habits of Highly Effective People: 30th Anniversary Card Deck (The Official 7 Habits Card Deck),Stephen R. Covey,"Jul 2, 2019",4.6 out of 5 stars,9656
33,Business & Money,Extreme Ownership: How U.S. Navy SEALs Lead and Win (New Edition),Jocko Willink,"Nov 21, 2017",4.8 out of 5 stars,9501
34,Business & Money,Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,"Dec 27, 2011",4.6 out of 5 stars,9127
35,Business & Money,"The 4-Hour Workweek: Escape 9-5, Live Anywhere, and Join the New Rich",Timothy Ferriss,"Dec 15, 2009",4.5 out of 5 stars,8930
